Indicator,Unnamed:1,2000,2005,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Domestic Tourists (10k),,7191.53,17234.26,35518.6,41150.01,46437.41,51539.2,57113.32,61933.65,67779.99,74287.31,81422.84,87611.7,47174.12,70617.57,53308.84,94045.25,108806.65
Domestic Tourism Revenue (Billion CNY),,587.52,1625.62,4287.86,5161.47,6055.8,6940.05,7863.51,8769.31,9952.47,11307.51,12851.3,13902.21,8136.31,11593.9,9263.82,11832.12,13170.87
,,,,,,,,,,,,,,,,,,
Domestic Tourists (10k),Number of Domestic Visitors(10000,7191.53,17234.26,35518.6,41150.01,46437.41,51539.2,57113.32,61933.65,67779.99,74287.31,81422.84,87611.7,47174.12,70617.57,53308.84,94045.25,108806.65
,  person-times),,,,,,,,,,,,,,,,,
Nanjing,  Nanjing,1272.7,3189.66,6365.5,7180.54,7950.45,8674.01,9419.31,9992.66,10657.32,11383.32,12185.94,12718.85,8670.37,10830.6,10329.02,15697.79,18078.8
Wuxi,  Wuxi,1127.77,2637.5,5067.27,5725.23,6365.25,6993.57,7573.72,8043.33,8586.03,9179.34,9817.68,10236.93,6010.2,8800.09,7920.98,12711.97,14645.73
Xuzhou,  Xuzhou,360.09,993.59,2049.4,2457.31,2752.56,3087.15,3566.61,4005.31,4515.48,5097.77,5758.44,6337.14,2754.88,5196.23,3333.26,7295.85,8435.44
Changzhou,  Changzhou,428.33,1282.78,2802.43,3360.88,3958.27,4425.71,4989.34,5443.0,5989.56,6582.71,7224.54,7947.05,5144.75,6999.42,6369.16,10275.76,11846.91
Suzhou,  Suzhou,1496.05,3656.87,7004.88,7775.38,8624.43,9416.33,10028.84,10605.45,11300.37,12046.42,12847.67,13374.1,8502.75,11248.75,9901.83,15797.01,18019.84
Nantong,  Nantong,319.88,743.08,1756.79,2108.97,2407.46,2716.0,3066.34,3387.24,3792.11,4247.0,4766.93,5251.21,1620.83,4314.97,2915.17,6510.75,7531.13
Lianyungang,  Lianyungang,308.49,700.28,1392.73,1655.93,1894.27,2136.03,2415.03,2682.74,3011.08,3384.18,3802.19,4199.36,2562.55,3619.51,3411.14,4816.89,5584.0
Huai'an,  Huai'an,280.89,549.85,1156.29,1398.21,1610.73,1833.2,2089.6,2323.79,2610.54,2931.74,3290.11,3658.47,2204.36,3293.04,2492.86,4502.6,5222.97
Yancheng,  Yancheng,328.8,529.91,1105.39,1325.07,1536.8,1754.36,2014.67,2266.34,2573.7,2926.83,3326.9,3703.84,2405.25,2672.27,2573.25,4836.82,5609.83
Yangzhou,  Yangzhou,436.66,1113.05,2647.22,3166.65,3572.47,3965.36,4545.88,5027.21,5622.02,6290.6,7036.59,7739.11,3839.61,6060.37,5065.3,10317.24,11922.62
Zhenjiang,  Zhenjiang,442.75,1166.97,2607.45,3100.83,3502.86,3895.0,4385.48,4802.68,5348.34,5964.56,6546.7,7120.71,3772.93,5563.56,2354.38,4777.41,5551.08
Taizhou,  Taizhou,286.02,488.28,1072.83,1284.66,1457.04,1640.46,1848.68,2037.34,2282.32,2558.32,2868.39,3156.72,1266.96,2336.01,1685.24,3562.54,4238.54
Suqian,  Suqian,103.1,182.44,490.42,610.35,804.82,1002.02,1169.82,1316.56,1491.12,1694.52,1950.76,2168.21,1251.13,1801.26,1738.13,3672.67,4419.86
,,,,,,,,,,,,,,,,,,
Domestic Tourism Revenue (Billion CNY),Earnings from Domestic Tourism(100,587.52,1625.62,4287.86,5161.47,6055.8,6940.05,7863.51,8769.31,9952.47,11307.51,12851.3,13902.21,8136.31,11593.9,9263.82,11832.12,13170.87
,  million yuan),,,,,,,,,,,,,,,,,
Nanjing,  Nanjing,101.08,328.2,852.41,1013.43,1169.01,1317.48,1470.0,1612.15,1803.45,2020.43,2279.42,2412.24,1796.08,2112.25,1946.18,1929.6,2132.96
Wuxi,  Wuxi,101.75,280.07,703.92,844.83,974.92,1100.4,1229.85,1356.25,1518.91,1702.64,1906.02,2015.7,1044.23,1646.79,1373.39,1558.16,1724.67
Xuzhou,  Xuzhou,23.87,76.81,215.84,264.83,311.82,360.47,423.46,485.99,565.9,658.92,766.03,844.44,322.18,629.96,403.43,798.59,890.86
Changzhou,  Changzhou,36.1,114.42,320.75,391.66,481.96,557.39,639.98,718.35,820.04,936.79,1070.25,1178.09,825.14,1052.02,938.93,1216.27,1356.19
Suzhou,  Suzhou,125.22,380.28,917.76,1084.82,1254.38,1419.09,1574.81,1728.79,1932.5,2161.32,2416.48,2559.29,1775.95,2262.31,1863.35,1775.84,1936.9
Nantong,  Nantong,28.24,65.13,202.26,252.2,299.29,348.16,400.6,453.04,521.98,601.43,693.33,765.42,267.0,614.96,399.78,791.33,884.07
Lianyungang,  Lianyungang,24.21,61.06,153.58,188.32,221.59,257.25,297.42,338.7,391.58,454.12,526.2,582.05,266.73,495.84,406.8,526.41,589.02
Huai'an,  Huai'an,12.48,34.55,118.59,146.17,172.65,200.12,231.63,264.02,305.64,353.66,409.23,465.66,266.04,403.9,280.85,510.21,573.14
Yancheng,  Yancheng,29.46,38.04,99.1,120.34,142.79,166.09,195.21,226.27,265.56,311.75,365.89,413.23,172.84,291.09,285.42,531.78,594.86
Yangzhou,  Yangzhou,37.26,92.36,271.84,330.23,392.5,454.42,525.21,592.0,681.91,785.29,904.76,996.33,608.41,810.41,685.37,924.37,1031.02
Zhenjiang,  Zhenjiang,41.93,103.48,285.59,345.63,410.14,474.53,543.93,614.12,706.19,812.87,923.77,1012.35,492.2,774.51,272.16,508.56,570.77
Taizhou,  Taizhou,20.46,41.01,113.34,136.91,160.88,186.19,213.63,241.54,278.22,321.39,371.23,409.31,153.01,290.03,203.13,375.25,437.12
Suqian,  Suqian,5.46,10.21,32.88,42.12,63.85,98.47,117.79,138.08,160.6,186.9,218.71,248.11,146.5,209.83,205.01,385.75,449.29
